Town,County,Pop,Land,Water,Latitude,Longitude,GEO ID,ANSI code
Clarksville,Allegany,1161,36.276,0.02,42.140145,-78.247654,3600315990,978833
Claverack,Columbia,6021,47.559,0.39,42.218852,-73.689931,3602116045,978834
Clay,Onondaga,58206,47.958,0.901,43.178698,-76.192114,3606716067,978835
Clayton,Jefferson,5153,82.36,21.671,44.204326,-76.079717,3604516100,978836
Clermont,Columbia,1965,17.996,1.197,42.085945,-73.854682,3602116177,978837
Clifton,St. Lawrence,751,134.361,15.985,44.201398,-74.885750,3608916287,978838
Clifton Park,Saratoga,36705,48.202,2.004,42.858993,-73.822974,3609116353,978839
Clinton,Clinton,737,67.07,0.03,44.937659,-73.920213,3601916397,978840
Clinton,Dutchess,4312,38.143,0.642,41.864288,-73.819584,3602716408,978841
Clymer,Chautauqua,1698,36.07,0.093,42.049004,-79.582437,3601316595,978842
Cobleskill,Schoharie,6625,30.599,0.179,42.687506,-74.442157,3609516639,978843
Cochecton,Sullivan,1372,36.241,0.79,41.680039,-74.994190,3610516661,978844
Coeymans,Albany,7418,50.129,3.038,42.491282,-73.875102,3600116694,978845
Cohocton,Steuben,2561,56.083,0.007,42.519967,-77.481566,3610116738,978846
Colchester,Delaware,2077,136.778,5.398,42.039868,-74.953334,3602516793,978848
Colden,Erie,3265,35.633,0.089,42.648107,-78.646394,3602916870,978849
Coldspring,Cattaraugus,663,51.464,0.554,42.055681,-78.844478,3600916903,978850
Colesville,Broome,5232,78.347,0.824,42.179510,-75.650430,3600717046,978851
Collins,Erie,6601,47.966,0.174,42.491800,-78.868516,3602917200,978852
Colonie,Albany,81591,55.943,1.9,42.743332,-73.785600,3600117343,978853
Colton,St. Lawrence,1451,241.702,13.252,44.368068,-74.814597,3608917409,978854
Columbia,Herkimer,1580,35.073,0.03,42.929047,-75.046258,3604317431,978855
Columbus,Chenango,975,37.368,0.124,42.691555,-75.369681,3601717486,978856
Concord,Erie,8494,69.934,0.16,42.545428,-78.702888,3602917585,978857
Conesus,Livingston,2473,32.891,2.98,42.703498,-77.641047,3605117618,978858
Conesville,Schoharie,734,39.466,0.404,42.398075,-74.338293,3609517651,978859
Conewango,Cattaraugus,1857,36.114,0.022,42.225426,-79.006508,3600917684,978860
Conklin,Broome,5441,24.385,0.504,42.040720,-75.835038,3600717772,978861
Conquest,Cayuga,1819,35.222,1.096,43.117487,-76.656916,3601117849,978862
Constable,Franklin,1566,32.806,0.012,44.967307,-74.280786,3603317871,978863
Constantia,Oswego,4973,56.765,42.915,43.258840,-75.963734,3607517904,978864
Copake,Columbia,3615,40.762,1.28,42.129680,-73.549044,3602118102,978865
Corinth,Saratoga,6531,56.763,1.372,43.228513,-73.922216,3609118223,978866
Corning,Steuben,6270,36.85,0.503,42.149331,-77.014205,3610118267,978868
Cornwall,Orange,12646,26.653,1.479,41.414179,-74.061304,3607118300,978869
Cortlandt,Westchester,41592,39.255,10.761,41.261089,-73.902332,3611918410,978871
Cortlandville,Cortland,8509,49.72,0.18,42.603488,-76.117640,3602318421,978872
Coventry,Chenango,1655,48.697,0.167,42.291156,-75.629129,3601718619,978873
Covert,Seneca,2154,31.385,6.195,42.584405,-76.696609,3609918663,978874
Covington,Wyoming,1232,26.138,0,42.832671,-78.014813,3612118696,978875
Coxsackie,Greene,8918,36.865,1.548,42.345680,-73.863305,3603918729,978876
Crawford,Orange,9316,40.031,0.084,41.571349,-74.315687,3607118916,978877
Croghan,Lewis,3093,179.182,2.849,43.969084,-75.355598,3604919081,978878
Crown Point,Essex,2024,76.121,5.724,43.963848,-73.583301,3603119246,978879
Cuba,Allegany,3243,35.129,0.763,42.208385,-78.243639,3600319367,978880
Cuyler,Cortland,980,43.477,0.032,42.726333,-75.936250,3602319499,978881
Danby,Tompkins,3329,53.553,0.222,42.332395,-76.472452,3610919620,978882
Dannemora,Clinton,4898,59.08,6.759,44.747379,-73.812971,3601919653,978883
Dansville,Steuben,1842,48.368,0.068,42.464632,-77.661656,3610119675,978884
Danube,Herkimer,1039,29.354,0.259,42.981082,-74.798257,3604319686,978885
Darien,Genesee,3158,47.371,0.219,42.908718,-78.382071,3603719719,978886
Davenport,Delaware,2965,51.563,0.35,42.454193,-74.902857,3602519763,978887
Day,Saratoga,856,64.112,5.42,43.321068,-74.027621,3609119807,978888
Dayton,Cattaraugus,1886,35.527,0.618,42.376833,-78.995439,3600919840,978889
De Kalb,St. Lawrence,2434,82.523,0.684,44.475880,-75.365448,3608920038,978893
De Peyster,St. Lawrence,998,42.927,2.169,44.535363,-75.458682,3608920335,978898
DeRuyter,Madison,1589,30.44,0.833,42.769678,-75.847084,3605320401,978900
DeWitt (De Witt),Onondaga,25838,33.774,0.092,43.053891,-76.071795,3606720478,978901
Decatur,Otsego,353,20.562,0.197,42.657096,-74.705713,3607719895,978890
Deerfield,Oneida,4273,32.941,0.107,43.185088,-75.151134,3606519928,978891
Deerpark,Orange,7901,66.502,1.452,41.442383,-74.656826,3607119961,978892
Delaware,Sullivan,2670,34.941,0.703,41.754935,-75.000363,3610520104,978894
Delhi,Delaware,5117,64.198,0.401,42.272354,-74.907546,3602520137,978895
Denmark,Lewis,2860,50.602,0.446,43.898222,-75.631239,3604920214,978896
Denning,Ulster,551,105.666,0.099,41.955487,-74.482306,3611120247,978897
Deposit,Delaware,1712,43.015,1.564,42.095846,-75.369813,3602520357,978899
Diana,Lewis,1709,137.094,3.738,44.108159,-75.372574,3604920555,978902
Dickinson,Broome,5278,4.772,0.105,42.130568,-75.918054,3600720588,978903
Dickinson,Franklin,823,44.224,0.089,44.728144,-74.539700,3603320610,978904
Dix,Schuyler,3864,36.258,0.454,42.334430,-76.899210,3609720676,978905
Dover,Dutchess,8699,55.19,1.149,41.679141,-73.568762,3602720819,978906
Dresden,Washington,652,52.254,2.745,43.590870,-73.468547,3611520885,978907
